character,content,scene,sound,Cmt
X,X,X,X,Phim ma thái lan lúc nào cũng nặng đô 🥹🥹🥹
X,X,X,X,Đáng tiền xem lắm luôn ấy huhu Tuỵt zời
P,O,O,O,"Cốt truyện khá dễ hiểu, không có điểm nổi bật. Diễn viên đẹp là điểm cộng lớn, nhưng không có gì quá ấn tượng về âm thanh hay kỹ thuật làm phim, khiến bộ phim có phần bình thường."
X,X,X,X,"Vừa đi xem ở rạp ra ngoi lên đây viết review luôn :)) thấy mn chê dữ quá, seeding cũng nhiều ko kém nên quyết định tự đi trải nghiệm. Cá nhân mình thấy phim ổn nha, dù mình đã đọc truyện và xem phim Tết ở làng Địa Ngục thì mình vẫn thấy đây là phim đáng xem,"
P,P,P,X,"Thật sự thì phim hay đáng xem 1 lần. TT rất giỏi chuyển giao cảm xúc người xem, đoạn đầu là bối cảnh phim, sau đó lần lượt các cảnh nóng làm người xem rạo rực. Kêa tiếp là phân cảnh hơi bùn nhẹ rồi tới cao trào của niềm vui. Khi đưa mình đến đỉnh rồi lại dập xuống bằng những ohana cảnh bùn nhẹ r lại cực buồn. Sau đoa lại tới cao trào cuối cùng kết thúc bằng cái kết tranh cãi. Mình thấy cái kết như này là hợp lí hai người tuổi trung niên,gặp nhau, yêu nhau, trao nhau hạnh phúc nhưng mỗi người mỗi cuộc sống tuy cái kết tranh cãi nhưng quá khứ đã giành cho nhau những điều hạnh phúc nhất."
X,N,X,X,"dở lắm luôn á, phim kiểu k có một ý nghĩa gì, thất vọng thật sự. Bên rạp có thuê seeding k vậy:)))) nhạt nhẽo vô vị thực sự."
X,X,N,N,"Nói chung là phim không đến nỗi dở, nếu chỉ xem mà không nghĩ ngợi gì nhiều thì cũng khá giải trí. Tuy nhiên phim bị không rõ ràng về văn hoá. Bối cảnh quan huyện làng quê miền bắc, nhưng diễn viên lại có người giọng bắc người giọng nam làm khán giả khó hình"
X,X,X,X,"Phần 2 hoành tráng cực kì, coi đã mắt gì đâu. Cũng hài nữa, nên xem nha mọi người. Bữa được tặng quà thích ghê"
N,O,X,X,"Mỗi cá nhân sẽ có những trãi nghiệm khác nhau về nội dung phim, vì mỗi người sinh ra đều trong mọi hoàn cảnh rất khác. Mình cảm thấy phim hay khi cha của nhân vật Mai là chú Việt Anh đóng sẽ hay hơn, Trấn Thành đóng mình thấy vẫn còn nét giả trong ánh mắt nhẫn tâm đó khi nhận tiền ép con.... Cuộc sống đúng là sẽ muôn màu hơn khi xem phim này! Cảm ơn."
P,P,P,X,"Đi xem phim với tâm thế không mong đợi gì lắm nhưng lại bất ngờ. Cảnh quay đẹp, Dàn diễn viên đóng đỉnh, nhập vai (trừ em bé đóng hơi chán). NSUT Kim Oanh thì vẫn chua ngoa như chị Mây trong Sóng ở đáy sông ngày nào 😂 Mỗi tội chê CGV Trần Duy Hưng, 10 phút"
X,X,O,O,"Âm thanh trong phim không gây khó chịu, nhưng cũng không tạo được cảm xúc đặc biệt."
X,X,X,N,"Âm thanh lồng tiếng không đồng đều, làm mất đi sự chân thật của câu chuyện."
P,O,P,X,"Chưa coi trailer của phim này, chọn phim vì có diễn viên mình yêu thích nên xem thử. Công nhận là đáng đồng tiền, kịch bản không quá mới nhưng diễn biến trong phim và nét diễn nhân viên khá hay, cả rạp đều cười với những nét diễn hài của nhân vật 💃🏻🍿🎥 Nói chung rất đáng xem nhé, đặc biệt là trong tháng 9 này đang ko thấy có phim gì hay hết 💓"
X,O,X,P,"Theo quản điểm của mình về bộ phim thì mình thấy phim ở mức khá. Qua bộ phim mình thấy được sự quyết tâm, nỗ lực không ngừng nghỉ của hai bạn nhân vật chính, bên cạnh đó là tình bạn đẹp giữa hai nhân vật. Bài học mình rút ra được từ bộ phim: Thứ nhất, nếu bạn đang làm việc gì đó mà bản thân bạn muốn làm, là việc mà bản thân bạn yêu thích hãy cố gắng và nỗ lực để đạt được kết quả tốt. Đôi lúc người xung quanh thấy việc bạn đang làm là vô ích và chẳng mang lại kết quả gì, nhưng chỉ cần bạn có niềm tin vào việc mình đang làm và không bỏ cuộc thì kết quả mà việc đó mang lại cũng không bạc với bạn đâu. Thứ hai, nếu bạn đang có một người bạn cùng chia sẻ ước mơ, công việc và sở thích thì hãy trân trọng họ. Giống như trong bộ phim có bảo: Lúc đầu bạn bảo bạn ghét vẽ lắm mà thế mà bây giờ bạn vẫn vẽ đến hiện tại. Câu trả lời không được nói rõ trong phim nhưng người xem chắc chắn đã hiểu rõ nó: Bởi vì ở đó có bạn, có bạn ở đó cùng tôi chia sẻ niềm vui, niềm hạnh phúc với việc vẽ, cùng tôi trò chuyện, cùng tôi chia sẻ ước mơ, cùng tôi đạt được giải thưởng đầu tiên... Điểm trừ nếu phải kể đến là thời lượng bộ phim khá ngắn. Phim nhẹ nhàng, đời thường tập trung miêu tả cảm xúc nhân vật chính, không có tình tiết giật gân nên sẽ khá chán và buồn ngủ với một số bạn. Hãy mang một tâm thế thoải mái khi xem phim và hãy thử quan sát, phân tích nội tâm nhân vật, bạn sẽ thấy bộ phim có cái hay riêng của nó. Chúc bạn có một trải nghiệm xem phim đáng nhớ! Nhạc hay"
O,X,X,X,"Chắc do thời lượng film ngắn quá nên chưa đủ để mình xúc động trước trước tình cảm giữa 2 người. Bản thân mình chỉ rung động lúc Nora tiễn bạn xong, bên ngoài thì nhìn mỉm cười đấy nhưng rồi gục mặt vào vai chồng khóc nức nở...vì bao nhiêu cảm xúc dồn nén."
X,P,P,X,"Phim nhẹ nhàng với những khung hình lãng mạn, đẹp đặc trưng của Mùa Thu & Đông của HQ. Nội dung diễn đạt một cách mới hơn về lựa chọn Một mình ở thời đại này. Mình nghĩ film thích hợp đi xem 1 mình và cả 2 mình."
O,O,X,X,"Xem phim bao rạp tại CGV luôn. Xem mang tính giải trí, hài hước nhẹ nhàng. Phản diện thì vô đối đầu phim, cuối phim thì chết lãng xẹt."
P,X,P,P,"Kĩ xảo đẹp mắt, cuốn hút. Âm nhạc cực hay. Diễn viên ổn, chưa phải xuất sắc nhưng tròn vai. 8 đỉm"
X,P,X,X,"Có thể chấm 9đ, lúc đầu xem trailer với đọc review thấy nghĩ nhiều khi mọi người nói hơi quá vì xem trailer thấy không giống trong truyện với hoạt hình. Mình đi xem với tâm thế xem Dc xử lý cốt truyện thế nào nma mình nghĩ cốt truyện được cải biên lại khá là"
O,O,O,X,"Mình thấy hay với thực tế nha, coi xong k thấy tiếc nuối gì mấy, (có tiếc cho Mai xíu vì at the end của phim vẫn k có anh nào). Nma thấy đó mới đúng là cuộc sống, định nói dài hơn nma thui recommend mn đi coi đi để tự cảm nhận."
O,X,X,X,"Các đoạn hội thoại được thực hiện trôi chảy, nhưng thiếu cảm xúc."
X,X,N,X,Hiệu ứng ánh sáng trong cảnh quay bị lạm dụng quá mức.
P,X,X,X,"Yêu FuBao , yêu nhà Bao hãy ra rạp xem nha mọi người ơi"
X,X,P,P,má ơi phim hay vkl ạ hâhhaha . xem 4DX mãn nhãn max phê lun 💐🫰🏻🫰🏻🫰🏻 mng nên xem nhé oánh nhau oành oạch bùm chíu chíu ghế giật tung người uỳnh uỳnh 💐🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻
X,O,O,P,"Ngồi xem phim mà thays thời gian trôi qua nhanh lắm luôn. Phim không có plot twist gay cấn nhưng cũng để lại cho người xem suy ngẫm. Dù sao cũng chỉ là one shot thôi nên không kỳ vọng quá nhiều. Nét vẽ độc lạ, âm nhạc hay, cảm xúc."
X,X,X,X,"Cũng hong biết nói sao nua,mình cũng hong biết nó chắc cũng hay,đáng xem một lần,khá hấp dẫn.Cũng không có khóc nhiều"
X,X,X,X,"Thao tát nhanh Hay Lẹ. Được ở bên mua vé online, nhanh chóng-tiện lợi-khỏe"
P,X,X,X,"Phim khá hay nha, cuối cùng nhận ra chỉ có Tấm mới là người thương Cám nhất, nhân vật trong phim Cám cũng ưa nhìn nữa, nên đi xem thử nha mọi người ơi"
P,X,X,X,diễn rất hay phim cũng ok á nhưng chưa lấy dc nước mắt của mình 😂
N,O,N,N,"Nói chung đã xem tết ở làng địa ngục r thì thấy kẻ ăn hồn về diễn xuất chưa đã bằng. Nhiều khúc giọng của Sang thều thào quá nghe cũng ko rõ, 1 số phân đoạn tiếng nhạc lớn át tiếng diễn viên làm đi xem mà bạn kế bên toàn hỏi ngta nói gì v🥹. Với sự mong chờ"
N,N,N,X,"-10 điểm. Mình mới coi đc 5p là muốn đi về r. Dỡ từ diễn viên, góc quay, sfx, kỹ xảo, nội dung. Tất cả như HẠCH. Cực kỳ thất vọng một bộ phim đến từ Hàn Quốc???! Cân nhắc kỹ nha mng…"
X,P,X,X,"Phim hay,có nội dung nhân văn,trẻ em hay người lớn đều coi được"
X,P,P,X,"HAY CỰC! Kịch tính đẫm ""mé mau"" coi tới đâu hồi hộp tới đó 🤣 đã con mắt lắm ạ Có điều nhân vật phim hình như được + máu hay sao á 🤣🤣🤣 Nói chung đáng giá lắm !!! 💯💯💯"
X,X,X,O,"Nhạc nền trong các cảnh xúc động khá nhẹ nhàng, nhưng không để lại nhiều cảm xúc."
X,X,X,X,"Sự hài hước và những triết lý nhân sinh tuyệt vời trong Kungfu Panda 4. Không chỉ đơn giản là một bộ phim hoạt hình phù hợp với nhiều lứa tuổi. Mặc dù một số ý kiến cho rằng nhà sản xuất đã vắt cạn ý tưởng ở phần 4 rồi, mình vẫn thấy đây là một bộ phim đáng"
X,N,X,X,"Phim dỡ chưa từng thấy, nội dung nhạt toẹt. Tốn tiền nên ráng ngồi coi 2 tiếng mà thấy xàm kinh khủng. Không hiểu sao rating cao chắc toàn là seeding."
P,P,X,X,"Phim thực tế, diễn viên diễn tự nhiên và cảm xúc. Ai cũng có mưu cầu hạnh phúc kể cả những người từng đổ vỡ và có quá khứ sai lầm. Nhưng điều đó vẫn phải dựa trên thực trạng kinh tế. Không có tiền thì khó có hạnh phúc. Kết phim khá sát với thưc tế 9/10 đôi ngoài đời đều kết thúc như vậy nên mọi người đừng mong vào happy ending."
X,X,X,X,"phim hay, nên xem nha mọi người ơi."
O,X,X,X,"Chắc do từng xem Lật mặt 7, cũng về chủ đề tình cảm gia đình, lại xây dựng bối cảnh mọi thứ ở Việt Nam rồi nên xem sang Gia tài của ngoại mình thấy chưa đủ. Phim Gia tài của ngoại chỉ có người bà đóng chạm cảm xúc, còn lại người cháu trai xây dựng hình tượng không tốt"
X,X,X,X,Phim hdbsnbb mmbzns. Nsnnsnzb x nxnsn
P,P,P,X,"Mình thấy kĩ xảo quá đẹp, nội dung cũng logic dù còn vài chỗ k giải đáp hết. Phim nhiều tình tiết lớn nhỏ mà mình không dám rời mắt vì sợ bỏ lỡ sự kiện nào đấy ảnh hưởng mạch phim đang xem. Xây dựng nhân vật phản ánh đc tính cách rõ ràng, dù chỉ nhìn qua ngoại hình."
P,X,X,X,"Oppa Kim Moo Yeol ngầu quãiii, càng coi càng cuốn"
X,X,P,X,"Phim hay lắm nha các bạn, thề luôn, kịch tính với những màn jumpscare độc đáo, hay khỏi chê. Quyết định đúng đắn khi chọn phim này cho first date nha."
X,X,X,X,Má đi coi 3 lần chưa đủ đô
X,X,X,X,Đi xem tần 2 lần luôn. Quá hay xuất sắc. Lâu lắm mới xem đc bộ phim hay vậy
X,X,X,N,"Lời thoại lồng tiếng nghe quá gượng ép, không tự nhiên chút nào."
P,P,X,X,"Phim cực hay luôn, mình thật sự không phải fan của thể loại phim này nên đi coi để ủng hộ Scarlett thôi nhưng thật sự bị bất ngờ, phim hay hơn mình nghĩ nhiều 🤎"
X,X,N,X,"Hiệu ứng mờ nền không được xử lý tốt, làm phân tán sự tập trung."
X,X,X,O,"Âm thanh các cảnh nội thất nghe rõ ràng, nhưng thiếu sức hút."
X,X,X,N,"Chất lượng âm thanh tệ, nhiều đoạn bị rè."
X,X,X,X,Phim hài hành động
X,X,X,X,Phim nhạt nhẻo nhiều so với các hoạt hình khác. Không thú vị
N,N,N,X,"Chưa bh xem bộ phim dở ntn, k có tý cốt truyện thì cũng không sao vì xác định đi xem đánh nhau nhưng đánh nhau cũng dở, shimo thì nhìn đần đần, như cái súp lơ, tưởng oánh nhau với godzilla nhưng hoá ra bị điều khiển bởi 1 con khỉ rồi đánh nhau đc 3p…. Chán"
X,P,X,X,"Phim hay nhé mn, mình chưa xem p1 nma bạn rủ đi coi nên là coi tạm cái review nhanh rồi coi phim, ai ko có tgian thì có thể coi review. 15p đầu thì phim mới bắt đầu nên hơi buồn ngủ tại mình coi cũng muộn thế mà đoạn sau hay tỉnk cả ngủ luôn, mỗi tội suất"
O,X,X,X,"Biểu cảm của các diễn viên khá đều đặn, nhưng không thực sự ấn tượng."
X,X,O,O,"Nhạc nền của các cảnh đồng quê khá nhẹ nhàng, phù hợp với bối cảnh."
P,X,X,X,"Phim rất oke, đáng để xem, rạp cười từ đầu đến cuối"
X,X,X,X,pass vé t4 sáng 9:35 😭😭😭 bao rạp lun
X,X,X,N,"Chất lượng âm thanh không ổn định, lúc to lúc nhỏ."
X,X,P,X,Phim hay nhé mn. Đánh đấm rất đã và lạ. Chứ giờ phim nc nào cũng đánh bt rồi
X,X,O,N,Trang phục tinh tế nhưng âm thanh lạc lõng khiến mọi thứ trở nên rời rạc.
N,N,N,X,"2 NV chính đầu phim, cuối phim như 1, không có sự phát triển. Mạch phim rất chậm và dư thừa nhiều cảnh không cần thiết. Thông điệp về đề tài con người trong giai đoạn chiến tranh thì uyển đó nhưng cách truyền tải chả đâu vào đâu. Sản phẩm truyền thông."
X,X,X,X,Phim hay ạ mọi người vào xem đi cuốn hút hài hước lắm ạ jfjdjdje8dijdjejfjfjsjjejdjfjdjejejwisiifijfjfjfjrjrjrjjrjrjrjrjrjrjrhrjjjrjrjficifiejejjejdjdjjhdrbudicjfjdjeejjebbddbbdbejejneennjjdjjejjeejjd
X,N,N,X,"Phim nhạt lắm các bạn. Mạch phim rời rạc không liên quan, nội dung thì cũng hơi 3 chấm chưa hiểu định nhắm đến điều gì? Có yếu tố spr nên lưu ý khi đọc tiếp - theo lý thuyết thì những người con cả đều bị ""ám"" nhưng cho tới lúc mở quan tài ra thì vong linh kia"
O,X,X,X,"Dàn diễn viên phối hợp tốt với nhau, nhưng không thực sự có sự ăn ý."
O,X,X,X,"Dàn diễn viên phù hợp với vai diễn, nhưng chưa tạo sự bứt phá."
P,X,X,X,"ko xem là phí cuộc đời đóooo, Timotheé diễn hay lắmmmmmm"
X,X,O,X,Cảnh phim tuy không quá sáng tạo nhưng đủ để làm hài lòng người xem.
X,X,X,O,"Tiếng nhạc nền không gây khó chịu, nhưng cũng không dễ nhớ."
X,X,X,X,Phim rất hay đáng để xem
X,P,X,X,"Mới đầu coi mình cứ tưởng phim sẽ tung hìnt câu View thôi. Nhưng không! Phim kịch bản liền mạch, mình chỉ xem duy nhất phim rạp là có thể hiểu hết các tiểu tiết trong phim. Lối phim nhẹ nhàng nhưng lắng đọng, sát với tâm lý nhân vật thể hiện. Có thăng trầm,"
O,X,X,X,"Các đoạn hội thoại được thực hiện khá trôi chảy, nhưng thiếu cảm xúc mạnh mẽ."
X,N,X,X,"Đoạn kết hơi củ chuối nha ,cụt ngủn"
P,X,X,P,Phim hay lắm mng à ! Nói về âm nhạc đc lồng ghép vào rất cảm xúc ! Nhân vật mới dễ thương cực ! Nên ra rạp xem nhé
X,P,X,X,"Dù khá kén người xem và thuộc thể loại chính kịch nhưng suốt 3h rưỡi mình không dám rời mắt luôn, cách kể chuyện rất cuốn. Buồn vì suất chiếu ít ỏi quá nên mình gặp khó khăn khi tìm rạp phù hợp. Nói chung thì rất đáng tiền nhen!"
X,X,X,O,"Tiếng động của các cảnh cháy nổ nghe rõ, nhưng không chân thực hoàn toàn."
X,X,X,X,Đỉnh nóc kịch trần bay phấp phới. Khóc trôi cả rạp
X,X,X,O,Âm thanh trong phim không quá đặc biệt nhưng đủ để tạo sự hài hòa.
P,P,X,X,"Rất hay đáng để xem nha mọi người. Mình rất sợ ma nhưng phim này vừa cho mình xem. Mà con giúp mình nhớ lại tuổi thơ thích lắm. Mọi người nên xem thử đi chung vs bạn đi chung với bồ nha. Hihihi ngoài ra diễn viên chính đẹp, bố cục truyện khá hay nội dung dễ hiểu"
X,N,N,X,"nó dở thực sự luôn á, coi phim mà như mất gốc, chưa bao giờ thất vọng về một bộ phim như v luôn, phim thiếu sự logic, thiếu liên kết, cắt cảnh cụt cực kì!!!"
X,X,X,N,"Âm thanh từ các cảnh quay trong phòng kín bị vang, rất khó chịu."
X,X,X,X,"Phim tệ lắm nha mn , chưa bao giờ đi xem phim nào mà nó nhạt nhẽo tệ như vậy , kiểu kể chuyện á"
P,O,O,X,"Phim hài khá nhiều , kh quá nhiều tình huống cảm xúc, nội dung theo gu mình chỉ mức 5/10, phim được cái có dàn diễn viên ưu tú hot hit bấy giờ"
X,X,X,X,"Phim này t thấy hay, đáng trãi nghiệm á mà nhiều người chê vl"
X,P,P,X,"Phim rất hay, cực kì đáng xem. Đoạn đầu hài hước vui vẻ, đoạn giữa cao trào, đoạn cuối cảm động. Tình tiết phim hấp dẫn. Quá xứng đáng để đi xem cùng người thân"
P,X,X,X,"Dzai xỉu luônn, lần đầu muốn vai phản diện kh bị bắt 🤣"
P,N,P,X,"Ổn về diễn viên, hình ảnh, kỹ xảo. Nhưng nội dung kịch bản thì hơi lộn xộn và thiếu cô đọng. Phần đánh nhau coi cũng vui, nhưng phần không đánh nhau thì nhạt."
P,P,P,X,"""Không thể rời đi, không thể ở lại"". Quả không hổ là một bộ phim điện ảnh của Hồng Kông. Phim thuộc thể loại Xã hội đ.en HK, có hành động, võ thuật, tội phạm, giật gân. Phim quy tụ nhiều màn bạc Châu Á với sự góp mặt của các ""cây đa, cây đề"" của nền điện"
P,P,P,X,"Về nội dung: theo cảm nhận của mình thì nội dung khá hay và logic, tương đối mới lạ Về phần diễn xuất thì anh Jung Hae In quá xuất sắc trong vai phản diện, cuốn từ thần thái, tâm lý đến hành động. Bonus thêm mấy pha hành động cực căng, siu cấp mãn nhãn. Chia sẻ của 1 người vừa xem xong: xứng đáng, nên đi xem nha mng 👍"
X,X,P,X,"Phim cực kì cực kì hay!!! Ôi phải nói lâu rồi mình mới được xem một bộ phim Marvel thú vị như vậy kể từ năm ngoái qua Spiderman Multiverse, xuyên suốt phim là rất nhiều pha hành động đã và đẹp mắt (dù vậy mình cũng hơi rén vì nó thật quá), và những trò đùa đến"
X,X,O,O,"Âm thanh có phần ổn định, nhưng không hỗ trợ tốt cho các chi tiết trang phục."
X,X,X,X,"Quá xuất sắc luôn💯 nên xem nha mọi người, không thất vọng đâu , hơn cả mong đợi"
X,O,X,X,phim làm nhớ mẹ 🤱🏻🤱🏻🤱🏻
O,X,X,X,Loạt phim về các Autobot luôn đỉnh nóc kịch trần. Ngàn sao!
X,X,X,X,Tâm tư của Disney là đây! Đầy tuổi thơ lại đầy hoài bảo
X,X,X,X,"em thấy phim ok lắm luôn, dui nữa, mn coi đi ạ, không tiếc tiền đâu"
X,X,N,X,Góc quay không làm nổi bật được cảm xúc của nhân vật.
X,X,X,X,Nếu thích game of thrones thì chắc chắn phải xem Dune nhe. 👍 Xem imax Phim hoành tráng lắm luôn còn rạp thường thì ko biết = ))
P,P,X,P,"Phim hay cực! Lâu rồi mới được xem lại một bộ phim Hong Kong có hành động kịch tính, các màn đấu võ hay xuất sắc. Lại được nghe các diễn viên nói bằng tiếng Quảng Đông ( tiếng mẹ đẻ của mình) thì quá tuyệt. Phim lại quy tụ toàn nghệ sĩ kỳ cựu nổi tiếng của xứ"
X,P,X,X,"Khóc, nhân vật chính chính là tao, xem xong phim muốn về vẽ ngay lập tức"
X,N,N,X,Thật sự bộ phim quá dở. Màu sắc thì tối như phim kinh dị. Không hiểu sao làm phim cho trẻ em và làm phim về cổ tích mà lại làm màu sắc như vậy. Kịch bản khá nhạt nhẽo. Vô rạp xem nhưng cảm giác cực kì buồn ngủ bởi vì không có gì đặc sắc. Nói chung là tệ. Không
X,X,N,X,"Những cảnh đêm quá tối, không thể nhận ra nhân vật hay bối cảnh."
O,N,P,X,"Phim ổn, giới thiệu văn hoá 3 miền khá hay. Nếu để chê thì mình xin phép chê diễn viên bà Hai ạ. mình thấy thoại của cô hơi kịch, không được tự nhiên và cảm xúc chưa làm tới. Ví dụ đoạn Tư Hậu gặp nạn, mình chưa thấy lột tả được người mẹ lo lắng cho tính mạng"
X,N,X,X,"Ngồi 3 tiếng 30 phút xem 1 bộ phim dài lê thê. Phim bình thường, không có yếu tố gây cấn, không bất ngờ, không cao trào."
X,X,N,N,"Góc quay bị rung lắc nhiều, cộng thêm âm thanh méo mó khiến trải nghiệm xem phim rất khó chịu."
X,N,N,X,"Đúng là có mấy đứa review khen hay tào lao, toàn pr sai sự thật. Phim dở chưa từng thấy. kỹ xảo thập niên 19xx quá cũ. Một bộ phim tệ về nội dung phi lý, kỹ xảo tởm cũng đem chiếu. coi buồn ngủ gần chết. Chưa bao giờ chán ngán 1 bộ phim hàn quốc tới vậy."
X,X,X,O,"Nhạc nền không quá cuốn hút, nhưng không làm giảm chất lượng phim."
X,X,X,X,"Phim hơi chán với người lớn, con nít thì hên xui"
P,P,P,P,"Nếu phần mở đầu của phim kéo dài thêm khoảng 10-15 phút để giới thiệu rõ hơn về ngôi làng và nhân vật chính thì sẽ hoàn hảo 10/10. Phần đầu hơi gấp gáp, còn lại thì xuất sắc khỏi bàn. Nữ chính lúc đầu diễn chưa tốt nhưng về sau lại rất ấn tượng. Nhìn chung, âm thanh và hình ảnh đều ổn, mình chấm 8/10."
O,P,X,X,thích nội dung phim cực á. nhưng nếu mình là 1 trong 2 nữ diễn viên mình sẽ chọn nói thẳng lúc mà 2 ngừoi kia hôn nhau rồi không để trong lòng rồi mọi chuyện lại thành ra tồi tệ như kết phim.
X,X,X,X,Rất đáng xem 10 điểm
O,P,X,X,"Nội dung cũng ok Kỹ xảo thì không bằng Mavel Super girl hơi chán Ko có khí chất của siêu anh hùng Hình như dv chính là người đồng tính, cái nét sao sao , không men lắm Tóm lại 7 điểm"
X,X,X,X,"“Siêu Phẩm” Quá hay, không còn gì để nói 🥳"
O,O,X,X,"Không có gì phải bàn cãi từ nội dung, dàn diễn viên lẫn đạo diễn"
X,X,X,O,"Âm thanh các cảnh quay ngoài trời được làm khá tốt, nhưng không hoàn hảo."
X,X,X,O,Hiệu ứng âm thanh của những cảnh cao trào chưa thực sự thuyết phục.
X,X,X,X,Tui là tui tức á ..muốn coi mà chiếu suất 3h chiều và 11h đêm ko à ..mở lên toàn thấy full lịch fim đất rừng PN ...🥲giờ làm sao mà đi coi được đây
O,X,X,X,Các diễn viên tuy không quá xuất sắc nhưng vẫn đủ để tạo không khí cho từng cảnh.
N,P,P,P,"Đáng xem, tôi ấn tượng với hình ảnh và âm thanh. Chỉ rất không thích nhân vật Sang, bởi vì do diễn viên đóng phim kém chứ không phải vì đóng kẻ xấu quá đạt. Còn lại thì tôi thấy các diễn viên trẻ, lớn tuổi khác đều ok."
X,X,X,X,"Phim dưới 13t mà đọc nhầm tưởng trên 13t, vào thấy nét vẽ nghi nghi rồi 😓 xem chán lắm"
X,X,X,X,"Review phim LẬT MẶT 7 - MỘT ĐIỀU ƯỚC “Một Mẹ có thể nuôi lớn mười con, Nhưng mười con không nuôi nổi một Mẹ.?” Cuộc sống xô bồ, cơm-áo-gạo-tiền, sự lo toan cho mỗi gia đình nhỏ của các con, vậy thì ai là người chăm mẹ.??? Sau 3 lần"
X,X,N,N,"Cảnh quay thành phố ban đêm rất lung linh, nhưng âm thanh của xe cộ và đường phố quá đơn điệu."
X,P,X,X,"Nội dung phim tuy không mới mẻ nhưng mạch phim lôi cuốn, kịch tính đến phút cuối. Đừng dùng các chuẩn oscar để đánh giá thì về mặt giải trí phim này xem ok."
P,X,X,X,Để ý nét diễn của anh Kiên nha anh ấy xứng đáng có một seri phim riêng
X,X,X,X,Clm cứ thông báo liên tục phim kiểu mẹ gì thế
X,O,O,X,"Mình nghĩ phim có thể sẽ hơi kén người xem vì thấy nhiều bạn bỏ về giữa chừng. Một phần thể loại phim là chính kịch, nên ít yếu tố hài hước, giải trí, một phần thời lượng dài nên mình xem có lúc hơi buồn ngủ. Nhưng xem những phân cảnh cuổi của phim mới thấy"
X,X,X,N,"Nhạc nền bị lặp đi lặp lại quá nhiều, gây nhàm chán."
X,X,O,X,Cảnh phim không quá cầu kỳ nhưng vẫn làm tôn lên câu chuyện.
O,N,O,X,Công tâm mà nói vì phim là chuyện cổ tích việt nam nên đi xem vì ủng hộ cho điện ảnh nước nhà. Về nội dung cũng gọi là tương đối ổn nhưng nói về kinh dị thì chưa thấy đâu. Xem xong như nước lã ko có gì đặc biệt.
O,X,X,X,"Diễn viên chính có biểu cảm phù hợp, nhưng không thuyết phục được khán giả ở các cảnh cao trào."
O,X,X,X,chưa từng xem bộ phim anh hùng nào mà nhạt toẹt ! chán thế này
P,X,P,X,"ko biết nói gì ngoài 3 chữ : Quá đẳng cấp !!!!! P1 quá hay, P2 lại x1000 P1 ( đỉnh nốc kịch trần, cờ bay phấp phới, không gì sánh lại ) thật ko sai khi nào phim ma thái lan đứng top 1 Diễn viên xuất sắc, hài hước nhưng k kém kịch tính, đặc biệt là đẹp trai"
X,X,X,N,"Âm thanh trong phim không có gì đặc biệt, nhưng cũng không gây khó chịu."
O,X,X,X,Ai fan người sói đi xem chỉ vì có người sói comeback như tôi không .
X,X,X,O,"Nhạc phim không quá đặc biệt, nhưng phù hợp với bối cảnh."
X,X,P,P,"Ưng animation và góc quay, lồng tiếng cũng hợp gì đâu, nghe đã."
X,X,X,N,"Tiếng động của các nhân vật phụ không được chỉnh sửa, nghe rất khó chịu."
P,N,P,X,"Đầu phim hay. Đến phần kết thì hơi thất vọng vì kết ngắn xúc tích. Diễn viên,kỹ xảo thì không có điểm chê rồi. Tổng quát thì mỗi cốt chuyện chưa đi sâu để nêu bật vấn đề!"
X,X,X,X,hay vãi phim vietsub hay quãiii luôn
X,P,X,X,Mình thấy nội dung cũng hay và khá dễ hiểu dù mình cũng không phải là đứa thích coi phim lắm 😉 Nói chung là đáng để bỏ tiền xem
O,X,X,X,Diễn xuất của các nhân vật trong phim không quá nổi bật nhưng không làm giảm đi sự hấp dẫn của câu chuyện.
O,X,X,O,"Lồng tiếng của các nhân vật không quá khác biệt, nhưng không tạo được sự khác biệt."
O,N,N,X,"Rất mong chờ KAH vì đã xem qua TOLDN nhưng có vẻ như do phần kiểm duyệt hay sao nên phim khá nhanh, khúc đầu khá buồn ngủ nhưng về sau thì kịch tính, phim khá dễ đoán diễn viên diễn đạt, hay may là phim không bị che đi nhiều hay cắt nhiều chứ cắt hết chả biết"
O,X,O,X,"Ko biết bạn nào xem rồi thấy giống mình ko,30p cuối xem ok còn lại 1tiếng30p đầu xem hài hước pha hành động mà mình thấy phim này nv chính nhiều lời thoại quá hơi lan man nên 1 số đoạn cảm giác bị buồn ngủ và phim này thiên về hài hước nhiều hơn.Về mặt kĩ xảo"
P,X,X,X,"Haha mình đi coi chỉ vì mấy em Minions thui à coi lúc nào cũng cười khùng zới mấy em lun phim giải trí, đáng xem ạ"
X,X,X,X,chỉ muốn nhann hết phim rồi về chứ xem phim buồn ngủ quá
O,X,X,X,Các diễn viên tuy không quá ấn tượng nhưng vẫn làm tốt vai trò của mình.
X,X,X,O,Âm thanh trong phim không quá sáng tạo nhưng vẫn làm tốt nhiệm vụ hỗ trợ câu chuyện.
P,P,X,X,"Phim hay quá trời, không uổng công hóng từ phần 1, phim này xứng đáng coi 2 lần vì độ đầu tư, dàn diễn viên diễn đỉnh, kịch bản và cú twist cuối phim đỉnh của đỉnh"
